accident_severity,time,day_of_week,road_surface_type,light_conditions,weather_conditions,type_of_collision,area_accident_occured
2.0,Unknown,Unknown,Gravel roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,8:05:00,Friday,Gravel roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,22:25:00,Thursday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - no lighting,Cloudy,Collision with roadside objects,Unknown
2.0,22:25:00,Thursday,Asphalt roads,Darkness - no lighting,Cloudy,Collision with roadside objects, Church areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,20:00:00,Friday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision, Church areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,15:31:00,Monday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,9:55:00,Sunday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,11:30:00,Tuesday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,School areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,9:55:00,Sunday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,17:44:00,Thursday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Other
1.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Collision with roadside objects,Unknown
2.0,8:20:00,Friday,Asphalt roads,Daylight,Cloudy,Collision with roadside objects, Church areas
2.0,Unknown,Unknown,Unknown,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,9:50:00,Tuesday,,Daylight,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,16:46:00,Thursday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Other
1.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,13:40:00,Thursday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Collision with pedestrians,Unknown
