age_band_of_driver,sex_of_driver,educational_level,driving_experience,vehicle_driver_relation
18-30,Male,Above high school,5-10yr,Employee
18-30,Male,Above high school,5-10yr,Employee
31-50,Male,Above high school,1-2yr,Employee
31-50,Male,Above high school,1-2yr,Employee
31-50,Male,Above high school,No Licence,Employee
31-50,Male,Above high school,No Licence,Employee
31-50,Male,Above high school,1-2yr,Employee
31-50,Male,Above high school,1-2yr,Employee
Over 51,Male,Above high school,1-2yr,Employee
Over 51,Male,Above high school,1-2yr,Employee
Over 51,Male,Above high school,No Licence,Employee
Over 51,Male,Above high school,No Licence,Employee
Under 18,Male,Above high school,5-10yr,Employee
Under 18,Male,Above high school,5-10yr,Employee
18-30,Male,Above high school,1-2yr,Owner
18-30,Male,Above high school,1-2yr,Owner
18-30,Male,Elementary school,5-10yr,Employee
18-30,Male,Elementary school,5-10yr,Employee
18-30,Male,Elementary school,Above 10yr,Employee
18-30,Male,Elementary school,Above 10yr,Employee
18-30,Male,Elementary school,1-2yr,Employee
18-30,Male,Elementary school,1-2yr,Employee
18-30,Male,Elementary school,1-2yr,Employee
18-30,Male,Elementary school,1-2yr,Employee
18-30,Male,Elementary school,Above 10yr,Employee
18-30,Male,Elementary school,Above 10yr,Employee
18-30,Male,Elementary school,5-10yr,Employee
18-30,Male,Elementary school,1-2yr,Employee
18-30,Male,Elementary school,1-2yr,Employee
18-30,Male,Elementary school,5-10yr,Employee
18-30,Male,Elementary school,5-10yr,Employee
18-30,Female,Elementary school,Below 1yr,Employee
18-30,Female,Elementary school,Below 1yr,Employee
18-30,Male,Elementary school,5-10yr,Employee
18-30,Male,Elementary school,5-10yr,Employee
18-30,Male,Elementary school,5-10yr,Employee
31-50,Male,Elementary school,Below 1yr,Employee
31-50,Male,Elementary school,Below 1yr,Employee
31-50,Male,Elementary school,5-10yr,Employee
31-50,Male,Elementary school,5-10yr,Employee
Over 51,Male,Elementary school,Below 1yr,Employee
Over 51,Male,Elementary school,Below 1yr,Employee
Over 51,Male,Elementary school,5-10yr,Employee
Over 51,Male,Elementary school,5-10yr,Employee
Over 51,Male,Elementary school,5-10yr,Employee
Over 51,Male,Elementary school,5-10yr,Employee
Under 18,Male,Elementary school,Above 10yr,Employee
Under 18,Male,Elementary school,Above 10yr,Employee
Unknown,Female,Elementary school,2-5yr,Employee
Unknown,Female,Elementary school,2-5yr,Employee
Unknown,Female,Elementary school,5-10yr,Employee
Unknown,Female,Elementary school,5-10yr,Employee
Unknown,Male,Elementary school,5-10yr,Employee
Unknown,Male,Elementary school,5-10yr,Employee
18-30,Male,Elementary school,5-10yr,Employee
18-30,Male,Elementary school,5-10yr,Employee
18-30,Male,Elementary school,Above 10yr,Employee
18-30,Male,Elementary school,Above 10yr,Employee
31-50,Male,Elementary school,Below 1yr,Employee
31-50,Male,Elementary school,Below 1yr,Employee
31-50,Male,Elementary school,5-10yr,Employee
31-50,Male,Elementary school,5-10yr,Employee
18-30,Male,Elementary school,2-5yr,Owner
18-30,Male,Elementary school,2-5yr,Owner
18-30,Male,Elementary school,2-5yr,Owner
18-30,Male,Elementary school,2-5yr,Owner
31-50,Male,Elementary school,Above 10yr,Owner
31-50,Male,Elementary school,Above 10yr,Owner
Over 51,Male,Elementary school,5-10yr,Owner
Over 51,Male,Elementary school,5-10yr,Owner
31-50,Male,High school,5-10yr,Employee
31-50,Male,High school,5-10yr,Employee
31-50,Male,High school,2-5yr,Employee
31-50,Male,High school,2-5yr,Employee
31-50,Male,High school,5-10yr,Employee
31-50,Male,High school,5-10yr,Employee
Unknown,Female,High school,5-10yr,Employee
Unknown,Female,High school,5-10yr,Employee
Unknown,Male,High school,5-10yr,Employee
Unknown,Male,High school,5-10yr,Employee
Unknown,Female,High school,2-5yr,Employee
Unknown,Female,High school,2-5yr,Employee
18-30,Male,High school,Below 1yr,Employee
18-30,Male,High school,Below 1yr,Employee
Over 51,Unknown,High school,Unknown,Employee
Over 51,Unknown,High school,,Employee
31-50,Male,High school,5-10yr,Employee
31-50,Male,High school,5-10yr,Employee
31-50,Male,High school,2-5yr,Owner
31-50,Male,High school,2-5yr,Owner
Over 51,Male,High school,Below 1yr,Owner
Over 51,Male,High school,Below 1yr,Owner
31-50,Male,High school,2-5yr,Owner
31-50,Male,High school,2-5yr,Owner
18-30,Male,Junior high school,Above 10yr,Employee
18-30,Male,Junior high school,Above 10yr,Employee
18-30,Male,Junior high school,5-10yr,Employee
18-30,Male,Junior high school,5-10yr,Employee
31-50,Male,Junior high school,Above 10yr,Employee
31-50,Male,Junior high school,Above 10yr,Employee
31-50,Male,Junior high school,5-10yr,Employee
31-50,Male,Junior high school,5-10yr,Employee
18-30,Male,Junior high school,Below 1yr,Employee
18-30,Male,Junior high school,Below 1yr,Employee
18-30,Male,Junior high school,2-5yr,Employee
18-30,Male,Junior high school,5-10yr,Employee
18-30,Male,Junior high school,5-10yr,Employee
18-30,Male,Junior high school,2-5yr,Employee
18-30,Male,Junior high school,Below 1yr,Employee
18-30,Male,Junior high school,Below 1yr,Employee
18-30,Male,Junior high school,Below 1yr,Employee
18-30,Male,Junior high school,Below 1yr,Employee
18-30,Male,Junior high school,1-2yr,Employee
18-30,Male,Junior high school,1-2yr,Employee
18-30,Male,Junior high school,5-10yr,Employee
18-30,Male,Junior high school,5-10yr,Employee
18-30,Male,Junior high school,Unknown,Employee
18-30,Male,Junior high school,,Employee
18-30,Male,Junior high school,5-10yr,Employee
18-30,Male,Junior high school,5-10yr,Employee
18-30,Male,Junior high school,1-2yr,Employee
18-30,Male,Junior high school,1-2yr,Employee
18-30,Unknown,Junior high school,2-5yr,Employee
18-30,Unknown,Junior high school,2-5yr,Employee
18-30,Male,Junior high school,Below 1yr,Employee
18-30,Male,Junior high school,Below 1yr,Employee
18-30,Male,Junior high school,5-10yr,Employee
18-30,Male,Junior high school,5-10yr,Employee
18-30,Male,Junior high school,2-5yr,Employee
18-30,Male,Junior high school,2-5yr,Employee
18-30,Male,Junior high school,5-10yr,Employee
18-30,Male,Junior high school,5-10yr,Employee
18-30,Male,Junior high school,2-5yr,Employee
18-30,Male,Junior high school,2-5yr,Employee
18-30,Female,Junior high school,2-5yr,Employee
18-30,Female,Junior high school,2-5yr,Employee
18-30,Male,Junior high school,Unknown,Employee
18-30,Male,Junior high school,,Employee
18-30,Male,Junior high school,1-2yr,Employee
18-30,Male,Junior high school,1-2yr,Employee
31-50,Male,Junior high school,Below 1yr,Employee
31-50,Male,Junior high school,Below 1yr,Employee
31-50,Male,Junior high school,1-2yr,Employee
31-50,Male,Junior high school,1-2yr,Employee
31-50,Male,Junior high school,5-10yr,Employee
31-50,Male,Junior high school,5-10yr,Employee
31-50,Male,Junior high school,5-10yr,Employee
31-50,Male,Junior high school,5-10yr,Employee
31-50,Male,Junior high school,2-5yr,Employee
31-50,Male,Junior high school,2-5yr,Employee
31-50,Male,Junior high school,Above 10yr,Employee
31-50,Male,Junior high school,Above 10yr,Employee
31-50,Male,Junior high school,2-5yr,Employee
31-50,Male,Junior high school,2-5yr,Employee
31-50,Male,Junior high school,5-10yr,Employee
31-50,Male,Junior high school,5-10yr,Employee
31-50,Male,Junior high school,1-2yr,Employee
31-50,Male,Junior high school,1-2yr,Employee
31-50,Male,Junior high school,5-10yr,Employee
31-50,Male,Junior high school,5-10yr,Employee
31-50,Female,Junior high school,2-5yr,Employee
31-50,Female,Junior high school,2-5yr,Employee
31-50,Male,Junior high school,Above 10yr,Employee
31-50,Male,Junior high school,Above 10yr,Employee
31-50,Male,Junior high school,Above 10yr,Employee
31-50,Male,Junior high school,Above 10yr,Employee
31-50,Male,Junior high school,5-10yr,Employee
31-50,Male,Junior high school,5-10yr,Employee
Over 51,Male,Junior high school,2-5yr,Employee
Over 51,Male,Junior high school,2-5yr,Employee
Over 51,Male,Junior high school,5-10yr,Employee
Over 51,Male,Junior high school,5-10yr,Employee
Under 18,Male,Junior high school,1-2yr,Employee
Under 18,Male,Junior high school,1-2yr,Employee
Under 18,Male,Junior high school,2-5yr,Employee
Under 18,Male,Junior high school,2-5yr,Employee
Under 18,Male,Junior high school,2-5yr,Employee
Under 18,Male,Junior high school,2-5yr,Employee
Under 18,Male,Junior high school,Below 1yr,Employee
Under 18,Male,Junior high school,Below 1yr,Employee
Unknown,Female,Junior high school,5-10yr,Employee
Unknown,Female,Junior high school,5-10yr,Employee
Unknown,Male,Junior high school,Above 10yr,Employee
Unknown,Male,Junior high school,Above 10yr,Employee
Unknown,Male,Junior high school,2-5yr,Employee
Unknown,Male,Junior high school,2-5yr,Employee
Unknown,Female,Junior high school,Above 10yr,Employee
Unknown,Female,Junior high school,Above 10yr,Employee
31-50,Male,Junior high school,5-10yr,Employee
31-50,Male,Junior high school,5-10yr,Employee
Under 18,Male,Junior high school,5-10yr,Employee
Under 18,Male,Junior high school,5-10yr,Employee
18-30,Male,Junior high school,Unknown,Employee
18-30,Male,Junior high school,,Employee
18-30,Male,Junior high school,Above 10yr,Employee
18-30,Male,Junior high school,Above 10yr,Employee
31-50,Male,Junior high school,1-2yr,Employee
31-50,Male,Junior high school,1-2yr,Employee
31-50,Male,Junior high school,Above 10yr,Employee
31-50,Male,Junior high school,Above 10yr,Employee
31-50,Male,Junior high school,5-10yr,Employee
31-50,Male,Junior high school,5-10yr,Employee
31-50,Male,Junior high school,1-2yr,Employee
31-50,Male,Junior high school,1-2yr,Employee
18-30,Male,Junior high school,2-5yr,Employee
18-30,Male,Junior high school,Above 10yr,Employee
