type_of_vehicle,owner_of_vehicle,service_year_of_vehicle,defect_of_vehicle
Unknown,Unknown,Unknown,Unknown
Public (12 seats),Owner,Unknown,No defect
Unknown,Unknown,Unknown,Unknown
Automobile,Owner,2-5yrs,No defect
Unknown,Unknown,Unknown,Unknown
Long lorry,Owner,2-5yrs,No defect
Unknown,Unknown,Unknown,Unknown
Automobile,Governmental,1-2yr,No defect
Unknown,Unknown,Unknown,Unknown
Automobile,Governmental,Unknown,No defect
Unknown,Unknown,Unknown,Unknown
Automobile,Owner,2-5yrs,No defect
Unknown,Unknown,Unknown,Unknown
Public (12 seats),Owner,2-5yrs,No defect
Unknown,Unknown,Unknown,Unknown
Lorry (41?100Q),Owner,Above 10yr,Unknown
Unknown,Unknown,Unknown,Unknown
Automobile,Governmental,Above 10yr,Unknown
Unknown,Unknown,Unknown,Unknown
Stationwagen,Governmental,5-10yrs,No defect
Unknown,Unknown,Unknown,Unknown
Public (13?45 seats),Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown
Public (13?45 seats),Owner,2-5yrs,Unknown
Unknown,Unknown,Unknown,Unknown
Automobile,Owner,2-5yrs,No defect
Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown
Other,Owner,Unknown,No defect
Unknown,Unknown,Unknown,Unknown
Public (12 seats),Owner,1-2yr,No defect
Unknown,Unknown,Unknown,Unknown
Automobile,Owner,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown
Lorry (11?40Q),Owner,Unknown,No defect
Automobile,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown
Public (13?45 seats),Owner,Unknown,No defect
Unknown,Unknown,Unknown,Unknown
Special vehicle,Owner,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown
Automobile,Owner,2-5yrs,Unknown
Unknown,Unknown,Unknown,Unknown
Lorry (41?100Q),Owner,Unknown,No defect
Unknown,Unknown,Unknown,Unknown
Lorry (41?100Q),Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown
Lorry (41?100Q),Owner,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown
Lorry (11?40Q),Owner,Unknown,No defect
Unknown,Unknown,Unknown,Unknown
Turbo,Owner,1-2yr,No defect
Unknown,Unknown,Unknown,Unknown
Public (13?45 seats),Owner,Unknown,No defect
Unknown,Unknown,Unknown,Unknown
Other,Owner,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown
Lorry (41?100Q),Owner,Unknown,No defect
Unknown,Unknown,Unknown,Unknown
Public (13?45 seats),Owner,5-10yrs,Unknown
Unknown,Unknown,Unknown,Unknown
Lorry (11?40Q),Owner,5-10yrs,No defect
Unknown,Unknown,Unknown,Unknown
Long lorry,Owner,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown
Public (> 45 seats),Owner,2-5yrs,Unknown
Unknown,Unknown,Unknown,Unknown
Automobile,Owner,Above 10yr,Unknown
Unknown,Unknown,Unknown,Unknown
Unknown,Owner,Unknown,No defect
Unknown,Unknown,Unknown,Unknown
Lorry (41?100Q),Owner,1-2yr,No defect
Unknown,Unknown,Unknown,Unknown
Unknown,Owner,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown
Lorry (41?100Q),Owner,Above 10yr,Unknown
Unknown,Unknown,Unknown,Unknown
Lorry (41?100Q),Owner,Unknown,No defect
Unknown,Unknown,Unknown,Unknown
Public (> 45 seats),Owner,Unknown,No defect
Unknown,Unknown,Unknown,Unknown
Automobile,Owner,1-2yr,No defect
Unknown,Unknown,Unknown,Unknown
Automobile,Owner,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown
Automobile,Owner,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown
Automobile,Organization,2-5yrs,Unknown
Unknown,Unknown,Unknown,Unknown
Automobile,Governmental,Unknown,No defect
Unknown,Unknown,Unknown,Unknown
Automobile,Owner,2-5yrs,Unknown
Unknown,Unknown,Unknown,Unknown
Stationwagen,Owner,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown
Lorry (41?100Q),Owner,5-10yrs,Unknown
Unknown,Unknown,Unknown,Unknown
Public (> 45 seats),Owner,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown
Taxi,Governmental,5-10yrs,No defect
Unknown,Unknown,Unknown,Unknown
Other,Owner,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown
Public (> 45 seats),Owner,1-2yr,Unknown
Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown
Automobile,Owner,2-5yrs,Unknown
Automobile,Governmental,1-2yr,No defect
Unknown,Unknown,Unknown,Unknown
Lorry (11?40Q),Owner,Unknown,No defect
Unknown,Unknown,Unknown,Unknown
Other,Owner,Above 10yr,No defect
Unknown,Unknown,Unknown,Unknown
Automobile,Owner,5-10yrs,No defect
Unknown,Unknown,Unknown,Unknown
Pick up upto 10Q,Owner,Above 10yr,Unknown
Unknown,Unknown,Unknown,Unknown
Lorry (41?100Q),Owner,Unknown,No defect
Unknown,Unknown,Unknown,Unknown
Other,Owner,Unknown,No defect
Unknown,Unknown,Unknown,Unknown
Pick up upto 10Q,Owner,Unknown,No defect
Unknown,Unknown,Unknown,Unknown
Lorry (41?100Q),Organization,2-5yrs,Unknown
Unknown,Unknown,Unknown,Unknown
Lorry (41?100Q),Owner,Above 10yr,No defect
Unknown,Unknown,Unknown,Unknown
Automobile,Owner,Unknown,No defect
Unknown,Unknown,Unknown,Unknown
Automobile,Governmental,2-5yrs,Unknown
Unknown,Unknown,Unknown,Unknown
Lorry (41?100Q),Owner,5-10yrs,Unknown
